0 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
0.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
1.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
2.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
3.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
4.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.8 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
5.9 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.1 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.2 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.3 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.4 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.5 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.6 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
6.7 -0.678116 0.53124 -0.800 -0.800 -1.141 0.622
